variant,split,metric,model_mean,model_std,log_file
energy,pdo21,mmd_energy,0.2192,0.2154,oval_ours_energy_6
energy,pdo21,mmd_rbf,0.0156,0.0151,oval_ours_energy_7
energy,pdo21,swd,0.1992,0.0936,oval_ours_energy_8
energy,pdo27,mmd_energy,0.3283,0.204,oval_ours_energy_9
energy,pdo27,mmd_rbf,0.026,0.0175,oval_ours_energy_10
energy,pdo27,swd,0.2428,0.0685,oval_ours_energy_11
energy,pdo75,mmd_energy,0.2033,0.2127,oval_ours_energy_12
energy,pdo75,mmd_rbf,0.0158,0.0166,oval_ours_energy_13
energy,pdo75,swd,0.1849,0.0819,oval_ours_energy_14
energy,replicas-1,mmd_energy,0.0923,0.0941,oval_ours_energy_0
energy,replicas-1,mmd_rbf,0.0071,0.0073,oval_ours_energy_1
energy,replicas-1,swd,0.129,0.0586,oval_ours_energy_2
energy,replicas-2,mmd_energy,0.1962,0.2112,oval_ours_energy_3
energy,replicas-2,mmd_rbf,0.0136,0.0138,oval_ours_energy_4
energy,replicas-2,swd,0.1878,0.0998,oval_ours_energy_5
fm,pdo21,mmd_energy,0.2582,0.2129,oval_ours_fm_6
fm,pdo21,mmd_rbf,0.0178,0.0134,oval_ours_fm_7
fm,pdo21,swd,0.2218,0.1021,oval_ours_fm_8
fm,pdo27,mmd_energy,0.2895,0.2237,oval_ours_fm_9
fm,pdo27,mmd_rbf,0.023,0.0193,oval_ours_fm_10
fm,pdo27,swd,0.2215,0.0773,oval_ours_fm_11
fm,pdo75,mmd_energy,0.2284,0.2537,oval_ours_fm_12
fm,pdo75,mmd_rbf,0.0182,0.0201,oval_ours_fm_13
fm,pdo75,swd,0.1929,0.0896,oval_ours_fm_14
fm,replicas-1,mmd_energy,0.1269,0.1171,oval_ours_fm_0
fm,replicas-1,mmd_rbf,0.0095,0.0085,oval_ours_fm_1
fm,replicas-1,swd,0.1497,0.0692,oval_ours_fm_2
fm,replicas-2,mmd_energy,0.2469,0.2844,oval_ours_fm_3
fm,replicas-2,mmd_rbf,0.0173,0.0187,oval_ours_fm_4
fm,replicas-2,swd,0.2045,0.1169,oval_ours_fm_5
swd,pdo21,mmd_energy,0.6245,0.3568,oval_ours_swd_6
swd,pdo21,mmd_rbf,0.0453,0.0239,oval_ours_swd_7
swd,pdo21,swd,0.3458,0.1044,oval_ours_swd_8
swd,pdo27,mmd_energy,0.5165,0.1932,oval_ours_swd_9
swd,pdo27,mmd_rbf,0.0393,0.0164,oval_ours_swd_10
swd,pdo27,swd,0.3096,0.0559,oval_ours_swd_11
swd,pdo75,mmd_energy,0.6639,0.2951,oval_ours_swd_12
swd,pdo75,mmd_rbf,0.0488,0.0188,oval_ours_swd_13
swd,pdo75,swd,0.3473,0.0935,oval_ours_swd_14
swd,replicas-1,mmd_energy,0.1006,0.1167,oval_ours_swd_0
swd,replicas-1,mmd_rbf,0.0076,0.0089,oval_ours_swd_1
swd,replicas-1,swd,0.1339,0.0659,oval_ours_swd_2
swd,replicas-2,mmd_energy,0.1683,0.1975,oval_ours_swd_3
swd,replicas-2,mmd_rbf,0.0117,0.0134,oval_ours_swd_4
swd,replicas-2,swd,0.1754,0.0948,oval_ours_swd_5
