split,metric,consecutive_ratio,predictor_loss_weight,model_mean,model_std,baseline_mean,baseline_std,log_file
pdo21,mmd_rbf,0.2,0.001,0.0229,0.0258,0.0249,0.0242,o_eval_ablation_11
pdo21,mmd_rbf,0.2,0.1,0.0184,0.0183,0.0249,0.0242,o_eval_ablation_10
pdo21,mmd_rbf,0.5,0.001,0.0191,0.0187,0.0249,0.0242,o_eval_ablation_9
pdo21,mmd_rbf,0.5,0.1,0.0194,0.0186,0.0249,0.0242,o_eval_ablation_8
pdo27,mmd_rbf,0.2,0.001,0.0245,0.0204,0.0292,0.0396,o_eval_ablation_15
pdo27,mmd_rbf,0.2,0.1,0.0235,0.0255,0.0292,0.0396,o_eval_ablation_14
pdo27,mmd_rbf,0.5,0.001,0.024,0.0234,0.0292,0.0396,o_eval_ablation_13
pdo27,mmd_rbf,0.5,0.1,0.0254,0.0273,0.0292,0.0396,o_eval_ablation_12
pdo75,mmd_rbf,0.2,0.001,0.016,0.0167,0.0229,0.026,o_eval_ablation_19
pdo75,mmd_rbf,0.2,0.1,0.0192,0.0163,0.0229,0.026,o_eval_ablation_18
pdo75,mmd_rbf,0.5,0.001,0.0211,0.0221,0.0229,0.026,o_eval_ablation_17
pdo75,mmd_rbf,0.5,0.1,0.025,0.0222,0.0229,0.026,o_eval_ablation_16
replicas-1,mmd_rbf,0.2,0.001,0.0097,0.0107,0.0168,0.0211,o_eval_ablation_3
replicas-1,mmd_rbf,0.2,0.1,0.0098,0.0118,0.0168,0.0211,o_eval_ablation_2
replicas-1,mmd_rbf,0.5,0.001,0.0087,0.0086,0.0168,0.0211,o_eval_ablation_1
replicas-1,mmd_rbf,0.5,0.1,0.0093,0.0092,0.0168,0.0211,o_eval_ablation_0
replicas-2,mmd_rbf,0.2,0.001,0.014,0.0179,0.0279,0.0227,o_eval_ablation_7
replicas-2,mmd_rbf,0.2,0.1,0.0171,0.0167,0.0279,0.0227,o_eval_ablation_6
replicas-2,mmd_rbf,0.5,0.001,0.0146,0.0174,0.0279,0.0227,o_eval_ablation_5
replicas-2,mmd_rbf,0.5,0.1,0.013,0.0142,0.0279,0.0227,o_eval_ablation_4
