method,split,metric,model_mean,model_std,baseline_mean,baseline_std,log_file
mfm,pdo21,mmd_energy,0.3894,0.2608,0.3497,0.3432,o_mfm_energy_6
mfm,pdo21,mmd_rbf,0.028,0.017,0.0249,0.0242,o_mfm_energy_7
mfm,pdo21,swd,0.2682,0.0946,0.2394,0.1386,o_mfm_energy_8
mfm,pdo27,mmd_energy,0.3637,0.1856,0.3629,0.4614,o_mfm_energy_9
mfm,pdo27,mmd_rbf,0.0289,0.0168,0.0292,0.0396,o_mfm_energy_10
mfm,pdo27,swd,0.2517,0.0597,0.2144,0.1423,o_mfm_energy_11
mfm,pdo75,mmd_energy,0.4266,0.4225,0.273,0.2996,o_mfm_energy_12
mfm,pdo75,mmd_rbf,0.0324,0.0314,0.0229,0.026,o_mfm_energy_13
mfm,pdo75,swd,0.2666,0.1123,0.2009,0.1102,o_mfm_energy_14
mfm,replicas-1,mmd_energy,0.0489,0.0431,0.2256,0.2788,o_mfm_energy_0
mfm,replicas-1,mmd_rbf,0.0036,0.0035,0.0168,0.0211,o_mfm_energy_1
mfm,replicas-1,swd,0.099,0.0348,0.1835,0.1165,o_mfm_energy_2
mfm,replicas-2,mmd_energy,0.1068,0.1189,0.3933,0.3372,o_mfm_energy_3
mfm,replicas-2,mmd_rbf,0.0073,0.0074,0.0279,0.0227,o_mfm_energy_4
mfm,replicas-2,swd,0.1408,0.0778,0.2573,0.1405,o_mfm_energy_5
oracle,pdo21,mmd_energy,0.0315,0.0217,0.3497,0.3432,o_oracle_energy_6
oracle,pdo21,mmd_rbf,0.0021,0.0015,0.0249,0.0242,o_oracle_energy_7
oracle,pdo21,swd,0.0829,0.023,0.2392,0.1385,o_oracle_energy_8
oracle,pdo27,mmd_energy,0.0335,0.0306,0.3629,0.4614,o_oracle_energy_9
oracle,pdo27,mmd_rbf,0.0025,0.0027,0.0292,0.0396,o_oracle_energy_10
oracle,pdo27,swd,0.0827,0.0242,0.2142,0.1422,o_oracle_energy_11
oracle,pdo75,mmd_energy,0.0295,0.0253,0.273,0.2996,o_oracle_energy_12
oracle,pdo75,mmd_rbf,0.0021,0.0019,0.0229,0.026,o_oracle_energy_13
oracle,pdo75,swd,0.0768,0.0266,0.2007,0.1099,o_oracle_energy_14
oracle,replicas-1,mmd_energy,0.0143,0.0085,0.2256,0.2788,o_oracle_energy_0
oracle,replicas-1,mmd_rbf,0.0009,0.0007,0.0168,0.0211,o_oracle_energy_1
oracle,replicas-1,swd,0.0622,0.0126,0.1834,0.1163,o_oracle_energy_2
oracle,replicas-2,mmd_energy,0.0196,0.0111,0.3933,0.3372,o_oracle_energy_3
oracle,replicas-2,mmd_rbf,0.0013,0.0008,0.0279,0.0227,o_oracle_energy_4
oracle,replicas-2,swd,0.0696,0.0157,0.2571,0.14,o_oracle_energy_5
ours,pdo21,mmd_energy,0.2192,0.2154,0.3497,0.3432,o_ours_energy_6
ours,pdo21,mmd_rbf,0.0156,0.0151,0.0249,0.0242,o_ours_energy_7
ours,pdo21,swd,0.1994,0.0941,0.2391,0.1383,o_ours_energy_8
ours,pdo27,mmd_energy,0.3283,0.204,0.3629,0.4614,o_ours_energy_9
ours,pdo27,mmd_rbf,0.026,0.0175,0.0292,0.0396,o_ours_energy_10
ours,pdo27,swd,0.2429,0.0685,0.2145,0.1424,o_ours_energy_11
ours,pdo75,mmd_energy,0.2033,0.2127,0.273,0.2996,o_ours_energy_12
ours,pdo75,mmd_rbf,0.0158,0.0166,0.0229,0.026,o_ours_energy_13
ours,pdo75,swd,0.185,0.0817,0.2008,0.1103,o_ours_energy_14
ours,replicas-1,mmd_energy,0.0923,0.0941,0.2256,0.2788,o_ours_energy_0
ours,replicas-1,mmd_rbf,0.0071,0.0073,0.0168,0.0211,o_ours_energy_1
ours,replicas-1,swd,0.1291,0.0586,0.1834,0.1162,o_ours_energy_2
ours,replicas-2,mmd_energy,0.1962,0.2112,0.3933,0.3372,o_ours_energy_3
ours,replicas-2,mmd_rbf,0.0136,0.0138,0.0279,0.0227,o_ours_energy_4
ours,replicas-2,swd,0.1884,0.1003,0.2572,0.1398,o_ours_energy_5
