method,split,metric,model_mean,model_std,baseline_mean,baseline_std,log_file
mfm,pdo21,mmd_energy,0.326,0.3273,0.3497,0.3432,o_mfm_fm_6
mfm,pdo21,mmd_rbf,0.0236,0.023,0.0249,0.0242,o_mfm_fm_7
mfm,pdo21,swd,0.2372,0.1129,0.2391,0.1379,o_mfm_fm_8
mfm,pdo27,mmd_energy,0.2777,0.1927,0.3629,0.4614,o_mfm_fm_9
mfm,pdo27,mmd_rbf,0.0222,0.0166,0.0292,0.0396,o_mfm_fm_10
mfm,pdo27,swd,0.2175,0.0707,0.2142,0.1422,o_mfm_fm_11
mfm,pdo75,mmd_energy,0.287,0.2097,0.273,0.2996,o_mfm_fm_12
mfm,pdo75,mmd_rbf,0.0224,0.016,0.0229,0.026,o_mfm_fm_13
mfm,pdo75,swd,0.2193,0.0827,0.2009,0.1105,o_mfm_fm_14
mfm,replicas-1,mmd_energy,0.1054,0.0831,0.2256,0.2788,o_mfm_fm_0
mfm,replicas-1,mmd_rbf,0.0078,0.006,0.0168,0.0211,o_mfm_fm_1
mfm,replicas-1,swd,0.1434,0.0529,0.1833,0.1162,o_mfm_fm_2
mfm,replicas-2,mmd_energy,0.1808,0.178,0.3933,0.3372,o_mfm_fm_3
mfm,replicas-2,mmd_rbf,0.0124,0.0104,0.0279,0.0227,o_mfm_fm_4
mfm,replicas-2,swd,0.1808,0.0916,0.2571,0.1403,o_mfm_fm_5
oracle,pdo21,mmd_energy,0.1007,0.075,0.3497,0.3432,o_oracle_fm_6
oracle,pdo21,mmd_rbf,0.0071,0.0051,0.0249,0.0242,o_oracle_fm_7
oracle,pdo21,swd,0.1467,0.0709,0.2393,0.1382,o_oracle_fm_8
oracle,pdo27,mmd_energy,0.0561,0.0382,0.3629,0.4614,o_oracle_fm_9
oracle,pdo27,mmd_rbf,0.0044,0.0033,0.0292,0.0396,o_oracle_fm_10
oracle,pdo27,swd,0.1066,0.0387,0.214,0.1419,o_oracle_fm_11
oracle,pdo75,mmd_energy,0.0546,0.0315,0.273,0.2996,o_oracle_fm_12
oracle,pdo75,mmd_rbf,0.0044,0.0027,0.0229,0.026,o_oracle_fm_13
oracle,pdo75,swd,0.1021,0.0324,0.2007,0.1104,o_oracle_fm_14
oracle,replicas-1,mmd_energy,0.0449,0.0286,0.2256,0.2788,o_oracle_fm_0
oracle,replicas-1,mmd_rbf,0.0032,0.0018,0.0168,0.0211,o_oracle_fm_1
oracle,replicas-1,swd,0.0983,0.0339,0.1836,0.1166,o_oracle_fm_2
oracle,replicas-2,mmd_energy,0.0381,0.0255,0.3933,0.3372,o_oracle_fm_3
oracle,replicas-2,mmd_rbf,0.0027,0.0019,0.0279,0.0227,o_oracle_fm_4
oracle,replicas-2,swd,0.0875,0.0309,0.2571,0.14,o_oracle_fm_5
ours,pdo21,mmd_energy,0.3006,0.2886,0.3497,0.3432,o_ours_fm_6
ours,pdo21,mmd_rbf,0.0215,0.0195,0.0249,0.0242,o_ours_fm_7
ours,pdo21,swd,0.2324,0.1181,0.2393,0.1385,o_ours_fm_8
ours,pdo27,mmd_energy,0.2806,0.2463,0.3629,0.4614,o_ours_fm_9
ours,pdo27,mmd_rbf,0.0225,0.0211,0.0292,0.0396,o_ours_fm_10
ours,pdo27,swd,0.2171,0.0854,0.2141,0.142,o_ours_fm_11
ours,pdo75,mmd_energy,0.2191,0.196,0.273,0.2996,o_ours_fm_12
ours,pdo75,mmd_rbf,0.0183,0.0175,0.0229,0.026,o_ours_fm_13
ours,pdo75,swd,0.192,0.0752,0.2008,0.1104,o_ours_fm_14
ours,replicas-1,mmd_energy,0.107,0.0815,0.2256,0.2788,o_ours_fm_0
ours,replicas-1,mmd_rbf,0.0081,0.0064,0.0168,0.0211,o_ours_fm_1
ours,replicas-1,swd,0.1434,0.0532,0.1834,0.1162,o_ours_fm_2
ours,replicas-2,mmd_energy,0.183,0.2197,0.3933,0.3372,o_ours_fm_3
ours,replicas-2,mmd_rbf,0.0131,0.0153,0.0279,0.0227,o_ours_fm_4
ours,replicas-2,swd,0.1769,0.1017,0.2582,0.1413,o_ours_fm_5
