method,split,metric,model_mean,model_std,baseline_mean,baseline_std,log_file
mfm,pdo21,mmd_energy,0.351,0.2168,,,o_mfm_swd_6
mfm,pdo21,mmd_rbf,0.0255,0.015,,,o_mfm_swd_7
mfm,pdo21,swd,0.256,0.0861,,,o_mfm_swd_8
mfm,pdo27,mmd_energy,0.338,0.2295,,,o_mfm_swd_9
mfm,pdo27,mmd_rbf,0.027,0.0199,,,o_mfm_swd_10
mfm,pdo27,swd,0.2416,0.0737,,,o_mfm_swd_11
mfm,pdo75,mmd_energy,0.3284,0.2724,,,o_mfm_swd_12
mfm,pdo75,mmd_rbf,0.0252,0.0209,,,o_mfm_swd_13
mfm,pdo75,swd,0.2379,0.0863,,,o_mfm_swd_14
mfm,replicas-1,mmd_energy,0.0565,0.0877,,,o_mfm_swd_0
mfm,replicas-1,mmd_rbf,0.0042,0.0066,,,o_mfm_swd_1
mfm,replicas-1,swd,0.101,0.0468,,,o_mfm_swd_2
mfm,replicas-2,mmd_energy,0.1228,0.1045,,,o_mfm_swd_3
mfm,replicas-2,mmd_rbf,0.0087,0.0067,,,o_mfm_swd_4
mfm,replicas-2,swd,0.1523,0.0711,,,o_mfm_swd_5
oracle,pdo21,mmd_energy,0.0284,0.0193,0.3497,0.3432,o_oracle_swd_6
oracle,pdo21,mmd_rbf,0.0019,0.0014,0.0249,0.0242,o_oracle_swd_7
oracle,pdo21,swd,0.0805,0.0235,0.2391,0.1386,o_oracle_swd_8
oracle,pdo27,mmd_energy,0.0485,0.0674,0.3629,0.4614,o_oracle_swd_9
oracle,pdo27,mmd_rbf,0.0038,0.0058,0.0292,0.0396,o_oracle_swd_10
oracle,pdo27,swd,0.0905,0.0381,0.2141,0.1423,o_oracle_swd_11
oracle,pdo75,mmd_energy,0.0269,0.0201,0.273,0.2996,o_oracle_swd_12
oracle,pdo75,mmd_rbf,0.002,0.0015,0.0229,0.026,o_oracle_swd_13
oracle,pdo75,swd,0.0746,0.0225,0.2006,0.1105,o_oracle_swd_14
oracle,replicas-1,mmd_energy,0.0149,0.0069,0.2256,0.2788,o_oracle_swd_0
oracle,replicas-1,mmd_rbf,0.001,0.0006,0.0168,0.0211,o_oracle_swd_1
oracle,replicas-1,swd,0.0623,0.0119,0.1832,0.1158,o_oracle_swd_2
oracle,replicas-2,mmd_energy,0.0158,0.0067,0.3933,0.3372,o_oracle_swd_3
oracle,replicas-2,mmd_rbf,0.001,0.0005,0.0279,0.0227,o_oracle_swd_4
oracle,replicas-2,swd,0.0642,0.0112,0.2574,0.14,o_oracle_swd_5
ours,pdo21,mmd_energy,0.3149,0.3156,0.3497,0.3432,o_ours_swd_6
ours,pdo21,mmd_rbf,0.0228,0.0224,0.0249,0.0242,o_ours_swd_7
ours,pdo21,swd,0.2374,0.1161,0.2394,0.1388,o_ours_swd_8
ours,pdo27,mmd_energy,0.2337,0.1904,0.3629,0.4614,o_ours_swd_9
ours,pdo27,mmd_rbf,0.0184,0.016,0.0292,0.0396,o_ours_swd_10
ours,pdo27,swd,0.2017,0.0727,0.2144,0.1425,o_ours_swd_11
ours,pdo75,mmd_energy,0.2255,0.2473,0.273,0.2996,o_ours_swd_12
ours,pdo75,mmd_rbf,0.0179,0.02,0.0229,0.026,o_ours_swd_13
ours,pdo75,swd,0.1919,0.0865,0.2007,0.1101,o_ours_swd_14
ours,replicas-1,mmd_energy,0.1001,0.1075,0.2256,0.2788,o_ours_swd_0
ours,replicas-1,mmd_rbf,0.0076,0.0081,0.0168,0.0211,o_ours_swd_1
ours,replicas-1,swd,0.1339,0.0636,0.1833,0.116,o_ours_swd_2
ours,replicas-2,mmd_energy,0.161,0.1797,0.3933,0.3372,o_ours_swd_3
ours,replicas-2,mmd_rbf,0.0112,0.0121,0.0279,0.0227,o_ours_swd_4
ours,replicas-2,swd,0.1709,0.0921,0.2576,0.1408,o_ours_swd_5
